Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Value
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2012","2012","87.41"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2013","2013","85.84"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2014","2014","96.04"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2015","2015","98.55"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2016","2016","105.41"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","107.46"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","112.87"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2019","2019","110.72"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2020","2020","113.37"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2021","2021","118"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2022","2022","120.72"
"QI","Production Indices","566","Nigeria","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2023","2023","120.57"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1961","1961","41.21"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1962","1962","41.26"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1963","1963","42.93"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1964","1964","43.52"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1965","1965","45.33"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1966","1966","46.22"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1967","1967","48.6"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1968","1968","49.08"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1969","1969","49.71"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1970","1970","48.96"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1971","1971","53.18"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1972","1972","52.55"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1973","1973","53.59"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1974","1974","52.57"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1975","1975","56.78"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1976","1976","58.1"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1977","1977","60.17"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1978","1978","60.53"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1979","1979","63.35"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1980","1980","60.82"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1981","1981","65.92"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1982","1982","66.62"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1983","1983","57.69"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1984","1984","65.38"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1985","1985","68.56"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1986","1986","66.04"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1987","1987","65.37"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1988","1988","60.36"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1989","1989","66.35"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1990","1990","68.41"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1991","1991","67.33"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1992","1992","73.35"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1993","1993","67.27"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1994","1994","77"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1995","1995","71.51"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1996","1996","76.52"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1997","1997","79.13"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1998","1998","80.11"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","1999","1999","81.02"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2000","2000","83.02"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2001","2001","81.64"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2002","2002","80.44"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2003","2003","83.11"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2004","2004","87.95"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2005","2005","85.68"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2006","2006","84.48"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2007","2007","89.61"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2008","2008","91.2"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2009","2009","93.03"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2010","2010","92.23"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2011","2011","91.36"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2012","2012","90.89"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2013","2013","95.8"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2014","2014","98.13"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2015","2015","97.01"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2016","2016","104.86"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","101.95"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2018","2018","103.19"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2019","2019","99.64"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2020","2020","103.12"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2021","2021","104.86"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2022","2022","101.28"
"QI","Production Indices","840","United States of America","432","Gross Production Index Number (2014-2016 = 100)","F2054","Food","2023","2023","104.64"
