year,kcal_supply_kcal_cap_day,gdp_pc_usd,food_prod_index,temp_change_c,k_norm,g_norm,f_norm,t_norm,FSI_geomean,FSI_lag1,dFSI,corn_production,corn_area_harvested,corn_yield_derived,corn_yield_sum_not_used,soybeans_production,soybeans_area_harvested,soybeans_yield_derived,soybeans_yield_sum_not_used,wheat_production,wheat_area_harvested,wheat_yield_derived,wheat_yield_sum_not_used,corn_production_yoy,corn_area_harvested_yoy,corn_yield_derived_yoy,soybeans_production_yoy,soybeans_area_harvested_yoy,soybeans_yield_derived_yoy,wheat_production_yoy,wheat_area_harvested_yoy,wheat_yield_derived_yoy,corn_production_lag1,corn_production_yoy_lag1,corn_area_harvested_lag1,corn_area_harvested_yoy_lag1,corn_yield_derived_lag1,corn_yield_derived_yoy_lag1,soybeans_production_lag1,soybeans_production_yoy_lag1,soybeans_area_harvested_lag1,soybeans_area_harvested_yoy_lag1,soybeans_yield_derived_lag1,soybeans_yield_derived_yoy_lag1,wheat_production_lag1,wheat_production_yoy_lag1,wheat_area_harvested_lag1,wheat_area_harvested_yoy_lag1,wheat_yield_derived_lag1,wheat_yield_derived_yoy_lag1,dFSI_lag1,corn_production_lag2,corn_production_yoy_lag2,corn_area_harvested_lag2,corn_area_harvested_yoy_lag2,corn_yield_derived_lag2,corn_yield_derived_yoy_lag2,soybeans_production_lag2,soybeans_production_yoy_lag2,soybeans_area_harvested_lag2,soybeans_area_harvested_yoy_lag2,soybeans_yield_derived_lag2,soybeans_yield_derived_yoy_lag2,wheat_production_lag2,wheat_production_yoy_lag2,wheat_area_harvested_lag2,wheat_area_harvested_yoy_lag2,wheat_yield_derived_lag2,wheat_yield_derived_yoy_lag2,FSI_lag2,dFSI_lag2
1970,3029,5165.167997,48.96,-0.023,0.17628866,1.00E-06,0.149556156,1,0.012742574,,,4152243000,65436000,63.45502476,72.4,1127100000,42249000,26.6775545,135.3,3830161000,87128000,43.96016206,113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3052,5535.663898,53.18,-0.415,0.2,0.008038438,0.230991895,1,0.138819221,0.012742574,0.126076647,5646260000,72937000,77.41283573,88.1,1176101000,42705000,27.54012411,139.4,4563381000,95370000,47.84922932,132.1,0.359809626,0.11463109,0.219963841,0.043475291,0.010793155,0.032333159,0.191433206,0.094596456,0.088467992,4152243000,,65436000,,63.45502476,,1127100000,,42249000,,26.6775545,,3830161000,,87128000,,43.96016206,,,,,,,,,,,,,,,,,,,,,,
1972,3062,6009.65298,52.55,-0.261,0.210309278,0.018322309,0.218834427,1,0.170407446,0.138819221,0.031588226,5579832000,65864000,84.71747844,97,1270608000,45683000,27.81358492,141.8,4356384000,94606000,46.04765025,124.3,-0.011764956,-0.096974101,0.094359581,0.080356194,0.069734223,0.009929542,-0.045360447,-0.008010905,-0.037651162,5646260000,0.359809626,72937000,0.11463109,77.41283573,0.219963841,1176101000,0.043475291,42705000,0.010793155,27.54012411,0.032333159,4563381000,0.191433206,95370000,0.094596456,47.84922932,0.088467992,0.126076647,4152243000,,65436000,,63.45502476,,1127100000,,42249000,,26.6775545,,3830161000,,87128000,,43.96016206,,0.012742574,
1973,3040,6629.453816,53.59,-0.028,0.187628866,0.031769774,0.238903898,1,0.194260388,0.170407446,0.023852942,5670712000,71166000,79.68288228,91.3,1547543000,55667000,27.80000719,139.8,4872358000,108296000,44.99111694,120.1,0.016287229,0.08049921,-0.059428069,0.217954711,0.21854957,-0.000488169,0.11844089,0.14470541,-0.022944348,5579832000,-0.011764956,65864000,-0.096974101,84.71747844,0.094359581,1270608000,0.080356194,45683000,0.069734223,27.81358492,0.009929542,4356384000,-0.045360447,94606000,-0.008010905,46.04765025,-0.037651162,0.031588226,5646260000,0.359809626,72937000,0.11463109,77.41283573,0.219963841,1176101000,0.043475291,42705000,0.010793155,27.54012411,0.032333159,4563381000,0.191433206,95370000,0.094596456,47.84922932,0.088467992,0.138819221,0.126076647
1974,3031,7118.426763,52.57,0.089,0.178350515,0.042378741,0.219220378,0.938957476,0.198603691,0.194260388,0.004343303,4701402000,76249000,61.65853978,374.5,1216287000,51341000,23.69036443,121.6,5264509000,130736000,40.26824287,98.9,-0.17093268,0.071424557,-0.226200935,-0.214052857,-0.07771211,-0.147828838,0.080484849,0.207209869,-0.104973479,5670712000,0.016287229,71166000,0.08049921,79.68288228,-0.059428069,1547543000,0.217954711,55667000,0.21854957,27.80000719,-0.000488169,4872358000,0.11844089,108296000,0.14470541,44.99111694,-0.022944348,0.023852942,5579832000,-0.011764956,65864000,-0.096974101,84.71747844,0.094359581,1270608000,0.080356194,45683000,0.069734223,27.81358492,0.009929542,4356384000,-0.045360447,94606000,-0.008010905,46.04765025,-0.037651162,0.170407446,0.031588226
1975,3033,7689.085815,56.78,-0.371,0.180412371,0.054760004,0.300463142,1,0.233415799,0.198603691,0.034812108,5840757000,77473000,75.39087166,432.3,1548344000,53617000,28.8778559,138.9,6257419000,138998000,45.01805062,115.8,0.242343667,0.01605267,0.222715814,0.273008755,0.044331041,0.218970523,0.188604483,0.063196059,0.117954184,4701402000,-0.17093268,76249000,0.071424557,61.65853978,-0.226200935,1216287000,-0.214052857,51341000,-0.07771211,23.69036443,-0.147828838,5264509000,0.080484849,130736000,0.207209869,40.26824287,-0.104973479,0.004343303,5670712000,0.016287229,71166000,0.08049921,79.68288228,-0.059428069,1547543000,0.217954711,55667000,0.21854957,27.80000719,-0.000488169,4872358000,0.11844089,108296000,0.14470541,44.99111694,-0.022944348,0.194260388,0.023852942
1976,3163,8470.509222,58.1,-0.118,0.31443299,0.071714102,0.325935932,1,0.292796734,0.233415799,0.059380935,6289169000,82787000,75.9680747,424.7,1288608000,49401000,26.08465416,129.7,6311426000,141854000,44.49240769,118,0.076772925,0.068591638,0.00765614,-0.167750836,-0.078631777,-0.096724693,0.008630875,0.020547058,-0.01167627,5840757000,0.242343667,77473000,0.01605267,75.39087166,0.222715814,1548344000,0.273008755,53617000,0.044331041,28.8778559,0.218970523,6257419000,0.188604483,138998000,0.063196059,45.01805062,0.117954184,0.034812108,4701402000,-0.17093268,76249000,0.071424557,61.65853978,-0.226200935,1216287000,-0.214052857,51341000,-0.07771211,23.69036443,-0.147828838,5264509000,0.080484849,130736000,0.207209869,40.26824287,-0.104973479,0.198603691,0.004343303
1977,3135,9324.695054,60.17,0.39,0.28556701,0.090246884,0.365881899,0.732510288,0.288286115,0.292796734,-0.004510618,6505041000,80928000,80.38059757,450.1,1767267000,57830000,30.5596922,143.6,6056617000,133372000,45.41145818,117.3,0.034324408,-0.022455216,0.058083911,0.371454313,0.170624076,0.171558266,-0.040372651,-0.059793873,0.020656344,6289169000,0.076772925,82787000,0.068591638,75.9680747,0.00765614,1288608000,-0.167750836,49401000,-0.078631777,26.08465416,-0.096724693,6311426000,0.008630875,141854000,0.020547058,44.49240769,-0.01167627,0.059380935,5840757000,0.242343667,77473000,0.01605267,75.39087166,0.222715814,1548344000,0.273008755,53617000,0.044331041,28.8778559,0.218970523,6257419000,0.188604483,138998000,0.063196059,45.01805062,0.117954184,0.233415799,0.034812108
1978,3155,10433.18426,60.53,0.018,0.306185567,0.114297142,0.372829024,0.987654321,0.336925353,0.288286115,0.048639237,7267927000,80554000,90.22428433,499.3,1868754000,63663000,29.3538476,142.2,5193244000,112990000,45.96197894,126.3,0.117276125,-0.004621392,0.122463468,0.057425958,0.100864603,-0.039458663,-0.142550371,-0.152820682,0.012122948,6505041000,0.034324408,80928000,-0.022455216,80.38059757,0.058083911,1767267000,0.371454313,57830000,0.170624076,30.5596922,0.171558266,6056617000,-0.040372651,133372000,-0.059793873,45.41145818,0.020656344,-0.004510618,6289169000,0.076772925,82787000,0.068591638,75.9680747,0.00765614,1288608000,-0.167750836,49401000,-0.078631777,26.08465416,-0.096724693,6311426000,0.008630875,141854000,0.020547058,44.49240769,-0.01167627,0.292796734,0.059380935
1979,3214,11544.90623,63.35,-0.328,0.367010309,0.138417539,0.427248167,1,0.383828659,0.336925353,0.046903306,7928139000,80389000,98.62218712,531.8,2260665000,70343000,32.13773936,156.6,6295526000,124908000,50.40130336,126.4,0.090839107,-0.002048315,0.093078076,0.209717812,0.104927509,0.094839075,0.212253073,0.105478361,0.096586886,7267927000,0.117276125,80554000,-0.004621392,90.22428433,0.122463468,1868754000,0.057425958,63663000,0.100864603,29.3538476,-0.039458663,5193244000,-0.142550371,112990000,-0.152820682,45.96197894,0.012122948,0.048639237,6505041000,0.034324408,80928000,-0.022455216,80.38059757,0.058083911,1767267000,0.371454313,57830000,0.170624076,30.5596922,0.171558266,6056617000,-0.040372651,133372000,-0.059793873,45.41145818,0.020656344,0.288286115,-0.004510618
1980,3178,12430.71313,60.82,0.413,0.329896907,0.157636385,0.378425318,0.716735254,0.344622331,0.383828659,-0.039206328,6639396000,82260000,80.71232677,457.4,1797543000,67813000,26.5073511,133.5,7034407000,142250000,49.45101582,118,-0.162553028,0.023274329,-0.181600722,-0.204860959,-0.035966621,-0.17519553,0.117366047,0.138838185,-0.018854424,7928139000,0.090839107,80389000,-0.002048315,98.62218712,0.093078076,2260665000,0.209717812,70343000,0.104927509,32.13773936,0.094839075,6295526000,0.212253073,124908000,0.105478361,50.40130336,0.096586886,0.046903306,7267927000,0.117276125,80554000,-0.004621392,90.22428433,0.122463468,1868754000,0.057425958,63663000,0.100864603,29.3538476,-0.039458663,5193244000,-0.142550371,112990000,-0.152820682,45.96197894,0.012122948,0.336925353,0.048639237
1981,3218,13811.44987,65.92,0.873,0.371134021,0.187593442,0.476842918,0.401234568,0.33972736,0.344622331,-0.004894971,8118650000,82831000,98.0146322,538.5,1989110000,66163000,30.06378187,154,8173031000,161284000,50.67477865,133.4,0.222799484,0.006941405,0.214370049,0.106571581,-0.024331618,0.134167717,0.161864959,0.133806678,0.024746971,6639396000,-0.162553028,82260000,0.023274329,80.71232677,-0.181600722,1797543000,-0.204860959,67813000,-0.035966621,26.5073511,-0.17519553,7034407000,0.117366047,142250000,0.138838185,49.45101582,-0.018854424,-0.039206328,7928139000,0.090839107,80389000,-0.002048315,98.62218712,0.093078076,2260665000,0.209717812,70343000,0.104927509,32.13773936,0.094839075,6295526000,0.212253073,124908000,0.105478361,50.40130336,0.096586886,0.383828659,0.046903306
1982,3191,14254.17375,66.62,-0.346,0.343298969,0.19719897,0.490351216,1,0.426845885,0.33972736,0.087118525,8235101000,80971000,101.7043262,569.6,2190297000,69442000,31.54138706,161.2,8149038000,155874000,52.27964895,140.2,0.014343641,-0.022455361,0.037644319,0.10114423,0.049559421,0.049149012,-0.002935631,-0.033543315,0.031670001,8118650000,0.222799484,82831000,0.006941405,98.0146322,0.214370049,1989110000,0.106571581,66163000,-0.024331618,30.06378187,0.134167717,8173031000,0.161864959,161284000,0.133806678,50.67477865,0.024746971,-0.004894971,6639396000,-0.162553028,82260000,0.023274329,80.71232677,-0.181600722,1797543000,-0.204860959,67813000,-0.035966621,26.5073511,-0.17519553,7034407000,0.117366047,142250000,0.138838185,49.45101582,-0.018854424,0.344622331,-0.039206328
1983,3230,15334.37588,57.69,0.548,0.383505155,0.220635499,0.318023929,0.624142661,0.359995909,0.426845885,-0.066849976,4174251000,59287000,70.4075261,429.5,1635772000,62525000,26.16188725,130.5,7186493000,122780000,58.53146278,142.2,-0.493114778,-0.267799583,-0.307723391,-0.253173428,-0.099608306,-0.170553686,-0.118117623,-0.212312509,0.119584082,8235101000,0.014343641,80971000,-0.022455361,101.7043262,0.037644319,2190297000,0.10114423,69442000,0.049559421,31.54138706,0.049149012,8149038000,-0.002935631,155874000,-0.033543315,52.27964895,0.031670001,0.087118525,8118650000,0.222799484,82831000,0.006941405,98.0146322,0.214370049,1989110000,0.106571581,66163000,-0.024331618,30.06378187,0.134167717,8173031000,0.161864959,161284000,0.133806678,50.67477865,0.024746971,0.33972736,-0.004894971
1984,3275,16868.79496,65.38,-0.23,0.429896907,0.253926914,0.466422231,1,0.475021289,0.359995909,0.11502538,7672130000,79432000,96.58739551,532.3,1860863000,66113000,28.14670337,146.9,7680892000,133856000,57.38175353,146.2,0.837965661,0.339787812,0.371833394,0.137605363,0.057385046,0.075866703,0.068795586,0.090210132,-0.019642585,4174251000,-0.493114778,59287000,-0.267799583,70.4075261,-0.307723391,1635772000,-0.253173428,62525000,-0.099608306,26.16188725,-0.170553686,7186493000,-0.118117623,122780000,-0.212312509,58.53146278,0.119584082,-0.066849976,8235101000,0.014343641,80971000,-0.022455361,101.7043262,0.037644319,2190297000,0.10114423,69442000,0.049559421,31.54138706,0.049149012,8149038000,-0.002935631,155874000,-0.033543315,52.27964895,0.031670001,0.426845885,0.087118525
1985,3380,17952.62956,68.56,-0.023,0.53814433,0.277442254,0.527788499,1,0.52982546,0.475021289,0.054804171,8875453000,82364000,107.7588874,573.6,2099056000,61599000,34.0761376,166.9,7159835000,129408000,55.32760726,147.4,0.156843406,0.036912076,0.115662005,0.128001363,-0.068277041,0.210661766,-0.067838084,-0.033229739,-0.0357979,7672130000,0.837965661,79432000,0.339787812,96.58739551,0.371833394,1860863000,0.137605363,66113000,0.057385046,28.14670337,0.075866703,7680892000,0.068795586,133856000,0.090210132,57.38175353,-0.019642585,0.11502538,4174251000,-0.493114778,59287000,-0.267799583,70.4075261,-0.307723391,1635772000,-0.253173428,62525000,-0.099608306,26.16188725,-0.170553686,7186493000,-0.118117623,122780000,-0.212312509,58.53146278,0.119584082,0.359995909,-0.066849976
1986,3352,18772.5334,66.04,0.587,0.509278351,0.29523124,0.479158626,0.59739369,0.455474814,0.52982546,-0.074350646,8225764000,75325000,109.2036376,598,1942558000,58312000,33.31317739,166.4,6173803000,121376000,50.86510513,135.9,-0.073200658,-0.085462095,0.013407249,-0.074556372,-0.053361256,-0.022389868,-0.13771714,-0.06206726,-0.080655975,8875453000,0.156843406,82364000,0.036912076,107.7588874,0.115662005,2099056000,0.128001363,61599000,-0.068277041,34.0761376,0.210661766,7159835000,-0.067838084,129408000,-0.033229739,55.32760726,-0.0357979,0.054804171,7672130000,0.837965661,79432000,0.339787812,96.58739551,0.371833394,1860863000,0.137605363,66113000,0.057385046,28.14670337,0.075866703,7680892000,0.068795586,133856000,0.090210132,57.38175353,-0.019642585,0.475021289,0.11502538
